what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109828218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109832296
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1223109832296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109832984
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109849593
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109853093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109854750
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1223109854750
activated,perspective,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugPerspective,1223109864875
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1223109864890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109868531
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1223109884812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223109885406
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1223109903078
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223109904906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109909953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109943109
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109949015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109949375
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109953171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109955359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1223109958250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223109962031
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1223109963750
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1223109974640
